,machine_cpu_uti,machine_memory_uti,cluster_cpu,cluster_memory,machine,time(s)
3503,0.54463447,0.267883183,0.490779316,0.229364528,k8s-worker5,652289
3504,0.420612216,0.143664334,0.478148081,0.249458305,k8s-master,652289
3505,0.540238636,0.271085344,0.472544424,0.250569374,k8s-worker5,652495
3506,0.420707386,0.147013685,0.479206429,0.234125517,k8s-master,652495
3507,0.166270833,0.068832073,0.245387433,0.070602406,k8s-worker0,636421
3508,0.3221875,0.040960938,0.26643966,0.079617377,k8s-worker4,636421
3509,0.254097222,0.080395854,0.274987574,0.09489321,k8s-worker0,636523
3510,0.326859375,0.049955078,0.27407017,0.081847952,k8s-worker4,636523
3511,0.286181818,0.087366455,0.294068798,0.095149126,k8s-worker0,636628
3512,0.334397727,0.054970881,0.288289151,0.089329779,k8s-worker4,636628
3513,0.284131944,0.090931128,0.281198907,0.094813851,k8s-worker0,636732
3514,0.336395833,0.057255859,0.280670393,0.085919171,k8s-worker4,636732
3515,0.28980303,0.092839549,0.264382951,0.075955954,k8s-worker0,636834
3516,0.344306818,0.055164773,0.271192504,0.084362718,k8s-worker4,636834
3517,0.285554167,0.094976937,0.250975951,0.091982774,k8s-worker0,636936
3518,0.33599375,0.056203906,0.256165636,0.078458928,k8s-worker4,636936
3519,0.283524306,0.096373213,0.286590645,0.085823736,k8s-worker0,637040
3520,0.334083333,0.056625,0.261504282,0.084677613,k8s-worker4,637040
3521,0.283969697,0.097742195,0.307934736,0.094851868,k8s-worker0,637141
3522,0.318886364,0.056651278,0.309945743,0.092315803,k8s-worker4,637141
3523,0.289111111,0.098349713,0.338891405,0.089486437,k8s-worker0,637248
3524,0.338291667,0.057496745,0.337116536,0.090359835,k8s-worker4,637248
3525,0.285893939,0.09889537,0.319252565,0.098663327,k8s-worker0,637348
3526,0.343630682,0.058130682,0.314400835,0.106103785,k8s-worker4,637348
3527,0.283854167,0.091134059,0.246475528,0.094700552,k8s-worker0,637448
3528,0.328075,0.056267969,0.239931741,0.085196844,k8s-worker4,637448
3529,0.279511364,0.086136779,0.207573957,0.078425478,k8s-worker0,637549
3530,0.330670455,0.055867898,0.213470159,0.08718446,k8s-worker4,637549
3531,0.281045455,0.085488886,0.255234388,0.099743882,k8s-worker0,637649
3532,0.346488636,0.05565696,0.259343053,0.072257705,k8s-worker4,637649
3533,0.283825758,0.086656227,0.292228292,0.084440138,k8s-worker0,637748
3534,0.333772727,0.051589489,0.281651926,0.102802562,k8s-worker4,637748
3535,0.208916667,0.048765791,0.301491427,0.078813543,k8s-worker3,637033
3536,0.342395833,0.119312043,0.313711654,0.07865835,k8s-worker5,637033
3537,0.233559524,0.058551452,0.308738232,0.099253137,k8s-worker3,637158
3538,0.339848214,0.11770027,0.323076917,0.098576596,k8s-worker5,637158
3539,0.241554487,0.066026653,0.312769405,0.107359272,k8s-worker3,637278
3540,0.336275641,0.13118383,0.327452063,0.107248214,k8s-worker5,637278
3541,0.241130952,0.066146526,0.288943459,0.084203723,k8s-worker3,637400
3542,0.342047619,0.132633661,0.283043101,0.095302362,k8s-worker5,637400
3543,0.240770833,0.066631839,0.22060089,0.078523274,k8s-worker3,637520
